2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250925.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251002.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251009.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251016.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251023.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251030.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251106.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251113.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251120.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251127.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251204.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251211.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251218.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20251225.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260101.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260108.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260115.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260122.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260129.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260205.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260212.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260219.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260226.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260305.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260312.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260319.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20260326.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Detected 1352 candidate files for pattern PUBLIC_ROOFTOP_PV_ACTUAL
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Files found for rooftop_pv_actual: 1352
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Created temporary working folder: /var/folders/m8/cwx1pw8d7qs9k5mbrk0vzxz80000gn/T/nemweb_om9fqklz
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Downloaded file: PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418133000_0000000513529821.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Extracted ZIP file PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418133000_0000000513529821.zip with 1 members
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Downloaded file: PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418140000_0000000513533099.zip
